id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
"4344769322236137	",HiMEA9nIJ,不再做大惊小怪的抱怨，才是走向成年生活的第一步吧。 ,,,,,,2019-02-28T20:33:13,,434,15,68,,,2019/2/28 20:33,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
"4344643909354550	",HiJoiDfxQ,今年的职场目标（写到这四个字都觉得，ewww），是网络沟通里不再使用波浪号。 ,,,,,,2019-02-28T12:14:50,,114,53,22,,,2019/2/28 12:14,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
"4343986863009728	",HisiycCY0,瑜伽可以被看作是一种自助型的按摩。#ShowerThoughts ,,,,,,2019-02-26T16:43:57,微博轻享版,133,28,10,,,2019/2/26 16:43,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
"4343753747501102	",Himeyvtnw,今天定睛一看洗手台，才发现自己一直把洗面奶和洗手液瓶子弄反了，洗手液清洁力很好，没有讨厌的香味，也不伤眼睛，关键还便宜。想知道你们美妆界有没有升职这个概念。 ,,,,,,2019-02-26T01:17:39,微博轻享版,102,35,4,,,2019/2/26 1:17,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
"4343590211811383	",HihYN7BdR,完全放假的时候闲到痛苦，对社交媒体和一切娱乐产生了强烈的厌倦，一开工就忙到头疼，能工作间隙刷五分钟微博都能开心半天。真是妻不如妾，妾不如偷。 ,,,,,,2019-02-25T14:27:49,微博 weibo.com,405,36,50,,,2019/2/25 14:27,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
"4343249147760814	",Hi96GwyWq,"王心凌的新专辑很好听啊，像一张十年前的作品。
写完转念一想，华语音乐可能真死得差不多了，“像一张十年前的作品”竟然是夸人的。 ",,,,,,2019-02-24T15:52:33,,287,43,12,,,2019/2/24 15:52,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
"4343220001602171	",Hi8lG6INt,推荐在北京的朋友们可以去看看 UCCA 最近的展，邱志杰的寰宇全图，语感奇诡，很有趣味。喜欢所有丰富到可以任意解读的东西，艺术、思维、人都包括在内——任何一条线拿出来都可以细而深地分析和探讨，这样的东西反倒是轻盈的。 ,,"https://wx3.sinaimg.cn/large/68bc3885gy1g0hh18oevwj20u0140u11.jpg,https://wx3.sinaimg.cn/large/68bc3885gy1g0hh1dfsr0j21400u0e87.jpg,https://wx1.sinaimg.cn/large/68bc3885gy1g0hh1e74o0j21400u0e87.jpg,https://wx2.sinaimg.cn/large/68bc3885gy1g0hh190wigj21400u0x6t.jpg,https://wx2.sinaimg.cn/large/68bc3885gy1g0hh19wzstj21400u0b2e.jpg,https://wx1.sinaimg.cn/large/68bc3885gy1g0hh1dzjb2j21400u0u13.jpg",,,,2019-02-24T13:56:44,微博轻享版,202,17,40,,,2019/2/24 13:56,TRUE,1,TRUE,,,,,,,,,,,,,,,,,,,,
"4342484143793062	",HhPcOfUKq,出门从不带伞，不知道哪来的叛逆，今年在上海被淋得很惨。那种心理类似于，凭什么你下个雨我就得配合你带伞，把我当成什么人了。 ,,,,,,2019-02-22T13:12:43,微博轻享版,334,58,58,,,2019/2/22 13:12,TRUE,1,TRUE,,,,,,,,,,,,,,,,,,,,
"4342277306590977	",HhJPcrEC5,因为和人经常网上聊天，打字成为一种交流的常态，这让我发现现代人口语和书面的风格慢慢在融合。聊天中打的一长串小作文或是几句之间的妙语连珠，就像书里的自然段或电影里的对话。接着往下想，也许随着时代发展，人与人之间会越来越见不到面，一个人的气质就是他的语言风格。其他一切都不重要了。 ,,,,,,2019-02-21T23:30:48,微博轻享版,296,23,31,,,2019/2/21 23:30,TRUE,1,TRUE,,,,,,,,,,,,,,,,,,,,
"4342142820177227	",HhGki0K6v,"和杨浦骄傲单口喜剧演员 @StormXu单口喜剧 老师录了一期播客，完全无主题地瞎聊，也聊得挺开心的。有兴趣的朋友们可以去听听看，最新一期的《伐要去管它》，各个音频平台上都有，我这期的标题挺吓人的，伐要去管它
 ",,,,,,2019-02-21T14:36:24,,84,28,3,,StormXu单口喜剧,2019/2/21 14:36,FALSE,0,TRUE,,,,,,,,,,,,,,,,,,,,
